"","TCGA-BT-A20U-11A-11R-A14X-13","TCGA-GD-A3OP-11A-11R-A222-13","TCGA-GC-A3WC-11A-11R-A22V-13","TCGA-BT-A2LB-11A-11R-A18B-13","TCGA-GD-A2C5-11A-11R-A17X-13","TCGA-BT-A20R-11A-11R-A16Q-13","TCGA-K4-A3WV-11A-21R-A22V-13","TCGA-GC-A6I3-11A-11R-A31R-13","TCGA-K4-A5RI-11A-11R-A28I-13","TCGA-GC-A3WC-01A-31R-A22V-13","TCGA-K4-A5RI-01A-11R-A28I-13","TCGA-K4-A3WV-01A-11R-A22V-13","TCGA-GD-A3OP-01A-21R-A222-13","TCGA-BT-A20U-01A-11R-A14X-13","TCGA-GD-A2C5-01A-12R-A17X-13","TCGA-GC-A6I3-01A-11R-A31R-13","TCGA-BT-A2LB-01A-11R-A18B-13","TCGA-BT-A20R-01A-12R-A16Q-13"
"hsa-let-7a-1","8503","68155","39790","57605","102603","32915","42472","29322","40445","33431","31238","11721","60374","23342","74789","26002","53576","99715"
"hsa-let-7a-2","8286","67447","39588","57248","101773","32797","42228","29308","39864","33207","31555","11670","59793","23327","74338","26247","53380","98863"
"hsa-let-7a-3","8297","68163","39676","57404","102396","32602","42399","29632","40036","33425","31455","11841","60627","23259","75579","26241","53708","100671"
"hsa-let-7b","12683","131900","40210","75220","116070","26676","47310","31723","39787","32960","32957","14246","79675","36340","78913","27687","98253","88735"
"hsa-let-7c","4262","57294","20292","34630","46472","17675","33834","12477","15504","11440","2347","4932","9961","3586","17975","5379","10513","25010"
"hsa-let-7d","303","3705","1968","4036","4726","2015","2009","1469","3247","1683","1764","1996","3279","1298","5872","2598","6478","4847"
"hsa-let-7e","904","9974","6602","6285","14311","6332","6615","3651","6558","2827","3028","1647","9926","2012","27742","5837","16193","17878"
"hsa-let-7f-1","5152","29668","17805","31142","53731","39882","19179","17801","25151","17036","17113","3065","34816","13457","59660","20248","42723","58191"
"hsa-let-7f-2","5235","29957","18116","31720","53821","40309","19751","18035","25667","17257","17561","3085","34793","13807","59837","20909","43011","59032"
"hsa-let-7g","336","3148","2145","2790","4991","1472","2472","2455","3138","1641","1371","527","4650","959","4793","3132","5363","4726"
"hsa-let-7i","425","5528","2989","3718","6146","990","2195","3774","3952","2315","1421","1029","3399","1654","5185","3455","6229","4937"
"hsa-mir-1-1","164","1020","1376","368","495","1808","657","129","1813","256","344","8","231","19","478","96","218","89"
"hsa-mir-1-2","142","1051","1489","456","515","2171","668","154","2064","278","339","12","230","21","447","106","239","79"
"hsa-mir-100","6578","84735","74651","44179","94978","39764","82354","25308","60035","32504","14175","8570","53390","6377","55697","14646","28598","42536"
"hsa-mir-101-1","3535","64081","25709","27480","47237","8460","38752","22448","30211","25860","13680","3247","94306","7272","81424","30151","70042","34313"
"hsa-mir-101-2","3628","65232","26261","28544","48215","8909","39542","22872","31394","25646","13903","3108","94895","7143","81809","30210","70572","34652"
"hsa-mir-103a-1","6134","50912","52379","60177","104499","25053","39794","66306","107908","30924","61249","22453","94864","18170","112564","98497","89373","123526"
"hsa-mir-103a-2","6143","51611","52344","60319","103994","25198","39586","66354","108351","30583","61226","22490","95497","18264","113400","98343","89898","123716"
"hsa-mir-103b-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-103b-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-105-1","0","1","1","2","367","3","3","8","1","52","802","190","0","33","713","1061","723","4502"
"hsa-mir-105-2","1","1","0","1","418","3","2","5","1","40","740","164","0","28","764","965","709","4587"
"hsa-mir-106a","2","36","39","16","34","13","15","54","38","33","58","10","62","12","14","138","69","40"
"hsa-mir-106b","307","3321","1317","1782","4370","925","1078","2152","1799","1316","1690","1013","3682","1177","9722","5030","7646","9535"
"hsa-mir-107","35","673","282","325","661","142","208","218","296","152","130","192","1122","142","874","366","878","835"
"hsa-mir-10a","6891","51906","36964","71208","173313","23012","179940","52295","105004","27437","68086","13525","156243","18597","87000","37300","101233","375532"
"hsa-mir-10b","34230","336365","146039","558632","479018","96112","858751","517678","650926","126957","187556","61175","312012","92759","172355","295311","321563","530469"
"hsa-mir-1178","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1179","0","0","1","0","0","0","1","1","1","0","1","0","0","3","4","0","2","8"
"hsa-mir-1180","7","84","47","45","61","17","51","31","43","28","61","222","106","50","57","70","99","254"
"hsa-mir-1181","2","4","0","6","3","1","1","0","1","0","0","0","2","2","2","1","3","4"
"hsa-mir-1182","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"hsa-mir-1183","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1184-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1184-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1184-3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1185-1","0","9","3","2","4","3","3","3","7","4","2","0","5","2","6","1","4","4"
"hsa-mir-1185-2","0","3","1","2","3","0","1","0","6","0","1","1","1","0","1","2","5","3"
"hsa-mir-1193","0","1","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","1"
"hsa-mir-1197","1","4","1","3","1","0","0","1","1","0","0","0","2","1","2","1","0","1"
"hsa-mir-1199","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1202","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1203","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1204","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1205","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1206","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1207","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1208","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
