"","TCGA-GC-A3BM-11A-11R-A22V-13","TCGA-BT-A20N-11A-11R-A14X-13","TCGA-BT-A2LA-11A-11R-A18B-13","TCGA-CU-A0YN-11A-11R-A10V-13","TCGA-CU-A0YR-11A-13R-A10V-13","TCGA-BT-A20W-11A-11R-A14X-13","TCGA-BT-A20Q-11A-11R-A14X-13","TCGA-K4-A54R-11A-11R-A26X-13","TCGA-GD-A3OQ-11A-21R-A222-13","TCGA-BL-A13J-11A-13R-A10V-13","TCGA-BL-A13J-01A-11R-A27D-13","TCGA-GD-A3OQ-01A-32R-A222-13","TCGA-BT-A2LA-01A-11R-A18B-13","TCGA-BT-A20W-01A-21R-A14X-13","TCGA-BL-A13J-01X-11R-A10V-13","TCGA-BT-A20Q-01A-11R-A14X-13","TCGA-BT-A20N-01A-11R-A14X-13","TCGA-K4-A54R-01A-11R-A26X-13","TCGA-CU-A0YN-01A-21R-A10V-13","TCGA-BL-A13J-01B-04R-A27D-13","TCGA-CU-A0YR-01A-12R-A10V-13","TCGA-GC-A3BM-01A-11R-A22V-13"
"hsa-let-7a-1","39101","21624","86514","25562","29017","8186","21645","36292","66986","51229","30433","19261","32042","40313","71152","53134","13755","37519","36506","26214","23894","87496"
"hsa-let-7a-2","38957","21467","86180","26018","28944","8336","21638","35489","67289","51276","30055","19361","32219","39800","70975","52872","13700","36543","36556","26088","23918","87857"
"hsa-let-7a-3","39682","21656","86300","25961","28836","8462","21335","36240","67601","51136","30626","19486","32451","40540","71330","53228","13864","37237","36690","26678","24240","88520"
"hsa-let-7b","59486","23633","118660","29301","35267","9599","21871","51379","89912","45161","93795","39529","11457","35442","64426","59990","29070","114221","35343","53911","17274","104632"
"hsa-let-7c","11771","12156","20147","14276","18441","3605","7916","9625","16794","25964","7070","829","45569","2689","8328","6806","1332","2647","1151","3429","233","385"
"hsa-let-7d","1937","1855","4443","974","1426","577","2266","1913","3165","2631","3718","1876","1248","5184","4154","1799","1927","3341","3260","4500","2144","2532"
"hsa-let-7e","4233","4254","13462","5074","3921","1650","4748","4367","11699","9773","2543","5988","8134","5562","4903","12953","1598","9309","3500","2415","1828","8520"
"hsa-let-7f-1","13804","21525","36905","15121","15346","8691","23178","13176","26581","44372","8002","6222","6364","44286","42769","27531","9380","9194","27135","8459","26965","26821"
"hsa-let-7f-2","13896","21796","36928","15063","15500","8588","23092","13370","27135","44451","7863","6396","6670","45150","43753","28203","9727","9245","27500","8285","27609","27218"
"hsa-let-7g","2272","847","3261","983","1051","433","1043","1763","2946","1981","3045","1032","1402","3366","4941","2975","1246","4071","2628","3924","1777","3658"
"hsa-let-7i","2794","1217","3348","1263","1320","516","1263","3238","3260","1856","4196","817","835","1725","3958","2505","1559","4125","2451","4866","1192","1714"
"hsa-mir-1-1","281","2173","640","2195","844","289","2453","250","1946","3590","153","3","15","68","444","250","10","2","8","57","13","14"
"hsa-mir-1-2","282","2354","725","2216","961","352","2624","252","2058","3747","146","11","16","72","434","311","21","3","14","74","12","20"
"hsa-mir-100","41382","26886","62608","25439","32855","9069","32912","55759","115881","38616","23134","7140","7530","8021","25782","18965","1993","3376","3555","9660","1249","2704"
"hsa-mir-101-1","40640","9512","38130","10729","7675","3455","10016","40050","101046","14000","25193","10288","41313","21193","21976","26427","5242","8264","11084","11193","7401","54194"
"hsa-mir-101-2","41124","9816","38791","10936","8054","3628","10267","41212","101210","14785","24997","10378","41514","21845","22148","27007","5338","8257","11258","11273","7424","54309"
"hsa-mir-103a-1","43668","22384","87279","15808","20561","11341","22242","95458","51406","28849","37105","27978","115587","132726","41913","118665","51790","98562","84422","42091","61338","64323"
"hsa-mir-103a-2","43272","22353","87117","15920","20650","11395","22365","95369","52064","29191","37160","28099","115482","132375","42300","119436","51301","98462","84602","42446","61795","64704"
"hsa-mir-103b-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-103b-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-105-1","12","3","19","0","0","0","0","1","0","0","5","0","3089","24","7","4","0","4","0","11","1","32"
"hsa-mir-105-2","6","3","17","0","0","0","1","0","2","3","2","2","3354","29","9","4","0","2","0","16","1","28"
"hsa-mir-106a","26","11","17","26","3","1","6","16","48","40","57","21","486","42","28","20","53","91","43","94","19","73"
"hsa-mir-106b","1481","902","2156","853","673","417","876","1102","3302","1154","3867","2778","20070","6216","3808","2947","1933","4574","4724","7602","1917","2230"
"hsa-mir-107","243","115","425","156","183","52","183","267","827","287","214","358","896","661","246","720","340","262","479","378","288","298"
"hsa-mir-10a","73110","17748","190917","12532","28100","10202","10342","163465","79606","31063","67845","75903","94442","172812","104746","206927","16437","130491","20223","63531","25683","23409"
"hsa-mir-10b","350003","89148","781786","65149","200445","67445","55036","709882","204753","162645","103881","62135","1092568","317855","176134","313390","237215","148929","108866","97274","97963","186189"
"hsa-mir-1178","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1179","0","1","2","0","0","0","2","0","1","0","0","1","9","1","0","0","0","2","0","1","1","0"
"hsa-mir-1180","37","28","70","19","23","8","36","22","54","28","95","80","985","157","48","639","87","103","62","199","81","38"
"hsa-mir-1181","1","1","2","0","0","0","0","0","1","0","1","5","6","5","0","2","2","0","3","2","0","1"
"hsa-mir-1182","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1183","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1184-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1184-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1184-3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1185-1","1","3","1","2","0","0","0","2","1","1","3","3","0","1","1","0","1","2","2","2","0","2"
"hsa-mir-1185-2","1","0","0","0","0","0","0","2","0","1","0","1","0","0","2","0","1","0","0","1","0","0"
"hsa-mir-1193","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1197","0","0","1","0","0","0","0","1","5","0","0","0","0","0","1","0","0","1","2","0","0","0"
"hsa-mir-1199","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1202","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1203","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1204","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1205","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1206","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1207","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1208","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-122","4","0","2","0","0","0","0","0","0","0","2","1","0","0","0","0","0","3","0","1","0","0"
"hsa-mir-1224","1","1","3","0","0","0","0","1","3","1","5","1","340","4","2","0","3","0","0","2","0","4"
"hsa-mir-1225","0","0","1","1","1","0","0","0","2","1","0","0","0","0","0","0","1","0","0","0","0","0"
"hsa-mir-1226","2","5","6","0","0","0","5","1","11","3","54","3","29","4","42","3","29","20","13","147","6","38"
"hsa-mir-1227","0","0","0","0","0","0","0","0","2","0","1","1","2","3","2","0","4","0","0","0","0","1"
"hsa-mir-1228","0","0","4","2","1","0","0","1","6","1","8","2","2","3","4","1","4","10","6","10","4","2"
"hsa-mir-1229","3","0","0","0","0","0","0","2","3","0","21","1","6","1","8","6","4","8","6","21","6","27"
"hsa-mir-1231","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0"
"hsa-mir-1233-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1233-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1234","0","0","1","0","2","0","0","0","1","0","1","0","1","1","1","0","0","0","0","2","0","1"
"hsa-mir-1236","0","0","0","0","0","0","0","0","1","0","1","0","3","0","0","0","0","0","1","2","0","1"
"hsa-mir-1237","0","0","0","0","0","0","0","0","0","0","3","1","0","0","3","1","0","0","1","2","2","0"
"hsa-mir-1238","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0"
"hsa-mir-124-1","0","0","0","0","0","0","0","0","0","0","0","0","356","0","0","0","0","0","0","0","0","0"
"hsa-mir-124-2","0","0","0","0","0","0","0","0","1","0","0","0","399","0","0","0","0","0","0","1","0","0"
"hsa-mir-124-3","0","0","0","0","0","0","0","0","1","1","0","0","392","0","1","0","0","0","0","1","0","0"
"hsa-mir-1243","0","0","0","0","0","0","1","0","1","1","1","0","2","0","0","0","1","0","0","0","0","0"
"hsa-mir-1244-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1244-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1244-3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1244-4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1245a","9","5","13","7","3","4","9","14","7","11","11","2","5","7","38","20","8","43","13","4","2","0"
"hsa-mir-1245b","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"hsa-mir-1246","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","5","0"
"hsa-mir-1247","1046","612","2377","202","677","1088","516","595","1187","516","258","8","40","2527","467","240","26","22","2","267","111","12"
"hsa-mir-1248","2","7","5","6","10","8","7","5","8","16","8","4","14","24","7","7","9","25","8","78","20","2"
"hsa-mir-1249","4","13","11","10","3","0","15","3","12","5","14","1","15","8","7","12","11","12","3","33","6","2"
"hsa-mir-1250","0","0","0","0","0","0","0","0","0","0","1","0","7","1","1","0","0","1","0","1","0","0"
"hsa-mir-1251","1","0","0","0","1","0","0","0","4","0","44","1","28","1","17","0","0","8","0","19","0","79"
"hsa-mir-1252","0","0","1","0","0","0","0","0","0","0","0","0","3","0","1","0","0","0","0","0","0","0"
"hsa-mir-1253","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1254-1","1","0","1","0","0","1","0","1","3","0","3","1","2","1","0","2","5","17","4","2","0","7"
"hsa-mir-1254-2","0","0","3","0","0","0","0","2","1","0","1","1","4","3","0","1","7","12","3","1","2","11"
"hsa-mir-1255a","2","1","2","1","0","0","0","0","1","0","1","4","0","0","0","8","1","2","3","3","1","1"
"hsa-mir-1255b-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1255b-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1256","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","1","1","0","0","0","0","0"
"hsa-mir-1257","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"hsa-mir-1258","8","7","3","1","13","4","5","16","16","16","1","0","13","1","4","4","0","1","0","0","0","0"
