"","TCGA-AA-3520-11A-01R-1757-13","TCGA-AA-3527-11A-01R-1757-13","TCGA-A6-2683-11A-01R-1757-13","TCGA-A6-2685-11A-01R-1757-13","TCGA-A6-2680-11A-01R-1757-13","TCGA-A6-2684-11A-01R-1757-13","TCGA-A6-2684-01A-01T-1409-13","TCGA-A6-2683-01A-01T-0822-13","TCGA-AA-3527-01A-01T-0822-13","TCGA-A6-2685-01A-01T-1409-13","TCGA-A6-2680-01A-01T-1409-13","TCGA-AA-3520-01A-01T-0822-13"
"hsa-let-7a-1","13419","14640","15987","14978","18885","14831","14506","50288","3915","13252","6055","4503"
"hsa-let-7a-2","13503","14659","15752","14904","19142","15109","14299","50537","3885","13129","5945","4589"
"hsa-let-7a-3","13534","14757","15879","14974","18995","15113","14183","51098","3941","13104","6018","4619"
"hsa-let-7b","65727","54076","114411","76166","85008","108274","31896","143822","14319","27853","9392","19505"
"hsa-let-7c","3520","2403","2416","2292","2533","1684","3130","3943","860","2432","141","751"
"hsa-let-7d","4376","7404","6964","4036","9033","5182","1061","6635","485","833","532","1725"
"hsa-let-7e","901","1478","853","1082","1450","749","934","6890","385","1226","283","522"
"hsa-let-7f-1","184","599","219","250","458","226","6295","14294","833","6222","3320","1388"
"hsa-let-7f-2","184","548","223","234","490","257","6277","14305","842","6350","3232","1363"
"hsa-let-7g","215","319","118","136","430","245","932","8016","467","913","531","494"
"hsa-let-7i","438","497","629","317","468","485","1046","6504","293","909","245","450"
"hsa-mir-1-1","1","0","0","0","1","0","220","44","49","223","14","15"
"hsa-mir-1-2","0","5","2","0","1","0","232","42","47","258","9","11"
"hsa-mir-100","1239","1452","1712","1402","1748","1819","8067","57761","2693","7884","1068","851"
"hsa-mir-101-1","67","59","118","57","41","91","11920","51706","3404","10575","3208","1784"
"hsa-mir-101-2","87","59","123","68","41","78","11782","51698","3451","10329","3249","1710"
"hsa-mir-103a-1","4463","2369","5050","3082","2419","5794","11866","45086","3228","8432","6390","5334"
"hsa-mir-103a-2","4404","2510","4960","3100","2423","5859","11834","45378","3280","8593","6457","5342"
"hsa-mir-103b-1","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-103b-2","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-105-1","3","2","1","3","4","5","0","575","0","3","2","0"
"hsa-mir-105-2","8","5","1","5","3","4","0","513","0","4","1","0"
"hsa-mir-106a","3","1","6","1","2","5","64","457","69","67","101","76"
"hsa-mir-106b","628","770","1066","650","590","541","837","4341","312","609","481","503"
"hsa-mir-107","18","17","42","30","21","36","116","551","29","107","69","19"
"hsa-mir-10a","4693","8927","9513","5124","9400","17938","93308","348700","103875","170648","56435","116790"
"hsa-mir-10b","8761","12150","9563","4219","5327","10967","195191","142767","73146","81285","39944","135749"
"hsa-mir-1178","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1179","0","0","0","0","0","0","0","3","1","0","0","0"
"hsa-mir-1180","87","116","185","113","136","91","9","90","6","11","4","6"
"hsa-mir-1181","3","2","2","0","2","1","0","1","0","1","1","1"
"hsa-mir-1182","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1183","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1184-1","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1184-2","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1184-3","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1185-1","0","0","0","0","0","0","1","33","0","0","1","0"
"hsa-mir-1185-2","0","0","0","0","0","0","0","10","0","0","0","0"
"hsa-mir-1193","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1197","0","0","0","0","1","0","0","12","0","1","0","0"
"hsa-mir-1199","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1200","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1202","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1203","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1204","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1205","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1206","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1207","0","0","0","0","0","0","0","1","0","0","0","0"
"hsa-mir-1208","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-122","0","0","0","0","0","1","0","2","1","0","0","0"
"hsa-mir-1224","15","13","52","87","33","17","0","3","3","0","0","8"
"hsa-mir-1225","0","1","1","0","0","2","0","0","1","0","0","0"
"hsa-mir-1226","7","18","26","8","24","8","1","9","1","1","0","4"
"hsa-mir-1227","0","4","1","1","7","2","0","3","0","0","0","0"
"hsa-mir-1228","9","9","7","2","7","9","1","12","1","1","0","1"
"hsa-mir-1229","3","3","5","1","2","4","0","1","0","0","0","3"
"hsa-mir-1231","0","0","0","0","0","0","0","1","1","0","0","0"
"hsa-mir-1233-1","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1233-2","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1234","0","0","2","0","1","0","0","0","0","0","0","0"
"hsa-mir-1236","0","0","0","0","1","0","0","0","0","0","0","0"
"hsa-mir-1237","1","0","0","0","1","0","1","1","0","0","0","0"
"hsa-mir-1238","0","0","1","0","0","0","0","0","0","0","0","0"
"hsa-mir-124-1","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-124-2","0","0","0","0","0","0","0","1","0","1","0","0"
"hsa-mir-124-3","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1243","0","0","0","0","0","0","0","1","0","0","0","0"
"hsa-mir-1244-1","0","0","0","0","0","0","0","1","0","0","0","0"
"hsa-mir-1244-2","0","0","0","0","0","0","0","1","0","0","0","0"
"hsa-mir-1244-3","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1244-4","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1245a","0","0","0","0","0","0","8","35","2","5","1","5"
"hsa-mir-1245b","0","0","0","0","0","0","0","1","0","1","0","0"
"hsa-mir-1246","0","0","2","0","0","0","0","1","2","1","0","0"
"hsa-mir-1247","616","409","393","78","159","210","98","264","698","937","420","45"
"hsa-mir-1248","5","11","9","9","12","11","2","52","5","9","2","1"
"hsa-mir-1249","12","13","6","7","20","9","3","8","2","1","2","0"
"hsa-mir-1250","0","0","0","0","1","0","0","0","0","0","0","0"
"hsa-mir-1251","0","1","0","0","0","0","0","1075","0","0","0","0"
"hsa-mir-1252","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1253","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1254-1","2","0","4","2","1","1","1","6","1","0","0","0"
"hsa-mir-1254-2","0","1","3","2","2","1","0","7","0","1","0","0"
"hsa-mir-1255a","0","0","0","0","0","0","2","6","0","0","0","0"
"hsa-mir-1255b-1","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1255b-2","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1256","0","0","0","0","0","0","0","3","0","1","0","0"
"hsa-mir-1257","0","0","0","0","0","0","0","0","0","0","1","0"
"hsa-mir-1258","1","2","0","2","0","0","2","4","3","4","0","0"
"hsa-mir-125a","3292","2243","5086","3934","4120","3739","875","6350","496","1285","246","453"
"hsa-mir-125b-1","709","682","682","650","1067","555","484","3169","168","651","57","94"
"hsa-mir-125b-2","731","656","672","634","1103","557","497","3203","183","625","39","113"
"hsa-mir-126","149","208","147","56","256","179","8519","59163","3591","7970","2513","3211"
"hsa-mir-1260a","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1260b","1","1","0","1","1","0","0","2","0","0","0","0"
