"","TCGA-CW-5580-11A-02R-1671-13","TCGA-A3-3358-11A-01R-1540-13","TCGA-B0-5709-11A-01R-1540-13","TCGA-CZ-4863-11A-01R-1502-13","TCGA-CJ-5677-11A-01R-1540-13","TCGA-B8-5552-11A-01R-1671-13","TCGA-CJ-5680-11A-01R-1540-13","TCGA-CW-5587-11A-01R-1540-13","TCGA-CZ-5470-11A-01R-1502-13","TCGA-B0-5690-11A-01R-1540-13","TCGA-CZ-5465-11A-01R-1502-13","TCGA-B8-4620-11A-01R-1757-13","TCGA-CZ-4865-11A-01R-1502-13","TCGA-B0-5705-11A-01R-1540-13","TCGA-B0-5712-11A-01R-1671-13","TCGA-CZ-5982-11A-01R-1671-13","TCGA-CZ-5467-11A-01R-1502-13","TCGA-B0-5691-11A-01R-1540-13","TCGA-CJ-5681-11A-01R-1540-13","TCGA-BQ-5888-11A-01R-1591-13","TCGA-DZ-6133-11A-01R-1964-13","TCGA-BQ-5884-11A-01R-1591-13","TCGA-GL-7966-11A-01R-2203-13","TCGA-BQ-5891-11A-01R-1591-13","TCGA-A4-A4ZT-11A-11R-A26Y-13","TCGA-BQ-5879-11A-01R-1591-13","TCGA-BQ-5878-11A-01R-1591-13","TCGA-A4-7288-11A-01R-2138-13","TCGA-BQ-7061-11A-01R-1964-13","TCGA-BQ-5875-11A-01R-1591-13","TCGA-KN-8422-11A-01R-2314-13","TCGA-KN-8429-11A-01R-2314-13","TCGA-KL-8329-11A-01R-2314-13","TCGA-KN-8431-11A-01R-2314-13","TCGA-KL-8336-11A-01R-2314-13","TCGA-KN-8424-11A-01R-2314-13","TCGA-KN-8434-11A-01R-2314-13","TCGA-KN-8432-11A-01R-2314-13","TCGA-KN-8437-11A-01R-2314-13","TCGA-KO-8415-11A-01R-2314-13","TCGA-KL-8324-11A-01R-2314-13","TCGA-KN-8433-11A-01R-2314-13","TCGA-B0-5705-01A-11R-1540-13","TCGA-A3-3358-01A-01R-1540-13","TCGA-CZ-5470-01A-01R-1502-13","TCGA-B0-5690-01A-11R-1540-13","TCGA-CZ-5982-01A-11R-1671-13","TCGA-CJ-5677-01A-11R-1540-13","TCGA-CZ-4865-01A-02R-1502-13","TCGA-CZ-5465-01A-01R-1502-13","TCGA-CJ-5681-01A-11R-1540-13","TCGA-B0-5691-01A-11R-1540-13","TCGA-B8-4620-01A-01R-1187-13","TCGA-CZ-5467-01A-01R-1502-13","TCGA-CW-5587-01A-01R-1540-13","TCGA-B0-5712-01A-11R-1671-13","TCGA-B0-5709-01A-11R-1540-13","TCGA-CJ-5680-01A-11R-1540-13","TCGA-CZ-4863-01A-01R-1502-13","TCGA-B8-5552-01B-11R-1671-13","TCGA-CW-5580-01A-01R-1671-13","TCGA-BQ-5879-01A-11R-1591-13","TCGA-BQ-5888-01A-11R-1591-13","TCGA-DZ-6133-01A-11R-1964-13","TCGA-BQ-7061-01A-11R-1964-13","TCGA-A4-A4ZT-01A-11R-A26Y-13","TCGA-GL-7966-01A-11R-2203-13","TCGA-BQ-5884-01A-11R-1591-13","TCGA-BQ-5878-01A-11R-1591-13","TCGA-BQ-5875-01A-11R-1591-13","TCGA-A4-7288-01A-11R-2138-13","TCGA-BQ-5891-01A-11R-1591-13","TCGA-KN-8432-01A-11R-2314-13","TCGA-KN-8433-01A-11R-2314-13","TCGA-KN-8434-01A-11R-2314-13","TCGA-KL-8324-01A-11R-2314-13","TCGA-KO-8415-01A-11R-2314-13","TCGA-KN-8429-01A-11R-2314-13","TCGA-KN-8431-01A-11R-2314-13","TCGA-KN-8422-01A-11R-2314-13","TCGA-KN-8437-01A-11R-2314-13","TCGA-KN-8424-01A-11R-2314-13","TCGA-KL-8329-01A-11R-2314-13","TCGA-KL-8336-01A-11R-2314-13"
"hsa-let-7a-1","31318","47032","13516","36183","11262","50619","35629","22517","62642","13518","59964","35487","31615","22702","37004","20591","47525","21219","17546","56505","17580","87585","140818","90723","37618","86903","78813","64534","86665","109128","58458","62820","59371","64844","41488","60718","22009","180011","93485","67883","69676","24259","99718","44134","52524","35960","22848","19233","26962","46355","15072","44609","7272","79467","21767","37125","30644","11962","40485","77050","22997","87667","55948","46245","47869","12356","40479","64187","47554","14580","37950","61857","66182","34979","26468","29130","55753","43033","32801","45600","41307","42270","34765","83822"
"hsa-let-7a-2","31535","47026","13536","36826","11235","50359","35256","22196","62357","13415","59376","35002","31256","22817","36839","20927","47914","20871","17882","56792","17681","87343","141024","90595","37593","86935","79044","64088","86436","108954","58138","62705","59058","64761","41816","61172","21648","180164","93247","67561","69855","24109","99693","43899","52493","36209","22565","19323","26982","45806","15316","43909","7360","78841","21738","37212","30320","11798","40913","76960","23003","88524","55694","46487","47862","12278","40431","63975","47388","14656","37516","62015","66563","34902","26833","29329","55495","43093","32787","45857","41379","42404","34575","83398"
"hsa-let-7a-3","31887","47529","13629","36732","11273","50812","35966","22330","62750","13634","60392","35537","31428","22954","37165","20738","47904","21188","17860","56663","17934","88190","141405","91651","37548","87513","79145","64515","86774","109193","58408","63035","59586","65446","42222","61120","22628","180585","93419","68194","70165","24506","100117","44398","53551","36567","22718","19375","27153","46219","15411","44247","7258","79807","21734","37532","30614","12072","40825","77714","23245","88137","56133","46549","48129","12313","40960","64175","47151","14780","37973","62089","66142","34959","26447","29079","55932","43156","32863","45745","41478","42180","34561","84167"
"hsa-let-7b","21946","52252","22179","25388","12889","51147","60295","29691","32430","15705","27025","33212","14770","24826","31790","14111","21645","31334","20735","70584","26643","98773","152122","68139","35824","68995","65737","149319","114268","99057","100841","141420","78072","108024","106487","126140","34504","290705","294875","115404","112072","39760","76498","29092","32425","26953","35625","15022","30035","35365","19548","85106","23004","82178","42358","39782","63507","25052","31483","101073","36059","87195","64209","65064","21091","8617","76533","40622","77499","3405","18737","44708","60798","36578","20869","50274","102339","50490","36206","55018","15063","32670","63836","70125"
"hsa-let-7c","7239","13063","4513","8038","3374","12002","11272","7317","12558","5688","12149","8506","5262","7502","13049","4861","7351","8016","5458","15388","6031","23671","29730","21060","8968","21904","19944","11416","23516","24821","23187","26292","15469","22210","16380","21773","7088","55246","45481","22875","20726","8887","18647","7036","10682","3926","3719","3756","3803","6134","669","15078","1107","7565","8841","11960","9629","2914","5683","20177","6474","11954","8693","17558","9531","3713","9061","26658","30295","3607","8341","17728","7101","4056","2577","3825","9054","5751","1186","1473","8338","2522","5214","5447"
"hsa-let-7d","1076","2867","1720","1291","1174","1720","3618","2426","1321","1534","1562","1017","1023","2263","1693","1270","1309","2381","1636","2758","2509","4592","3930","4055","1921","5328","4272","2600","2356","3997","4076","3173","2658","4187","3173","3256","1876","3582","4631","4109","3325","1782","3451","1123","1832","1086","781","619","1332","1442","1832","3322","457","2918","2597","1298","3361","1278","1034","2356","613","4212","2243","2079","4472","982","2148","4216","2087","2286","2689","4083","4302","1926","2109","2084","3004","3255","4968","5308","6426","2354","2053","5304"
"hsa-let-7e","6423","5756","4850","10130","3261","11085","6461","6891","12765","5247","13361","3537","7584","10123","6977","6797","10809","5293","3954","6831","3641","12890","19730","17221","9295","19415","16152","7762","15380","19016","8151","10304","12016","13183","6495","6803","4518","22934","7499","10682","10219","5014","12516","4327","3787","5432","3292","2281","3813","5147","3190","6976","836","11606","2610","4440","3812","2281","4247","9361","4284","53340","5506","3734","12221","1777","8137","12520","2737","10613","8212","9845","8634","6981","5903","5399","8081","7973","9596","11780","16340","7699","3789","13234"
"hsa-let-7f-1","23825","22582","3533","30432","4444","40541","12952","7503","50881","3990","55639","28852","25432","5006","24735","16653","43987","6685","8370","35362","7067","44888","52194","52831","19723","49714","46115","19065","41729","76289","16743","21127","24954","26632","9988","16044","8524","69796","18254","25353","24499","10982","68173","39275","45127","26896","16828","12621","18505","34243","6050","16083","2364","65777","7821","23138","8970","3497","28811","44243","15649","80048","37723","17400","29502","7235","12312","59080","19579","16170","22062","63309","29794","19400","14383","13311","22411","25361","22839","32607","26538","24281","11529","46965"
"hsa-let-7f-2","24641","22599","3784","31059","4440","41091","13073","7610","51359","4172","57107","29694","26053","5250","25266","17337","45250","6706","8506","35786","7429","45377","52825","53446","20126","50290","46983","19768","42646","77390","16614","20737","25218","26728","10297","16038","8502","70132","17943","25743","24704","10938","69135","40265","46347","27732","17081","12708","19123","34784","6288","16082","2455","66735","7749","23633","9376","3443","29040","45488","15898","80278","38193","17330","29928","7346","12592","59351","20080","16558","22676","64165","30440","19685","14294","13737","22388","25959","23285","32740","26854","24538","11610","47449"
"hsa-let-7g","3252","3635","2751","2307","1818","4069","3223","3977","4127","2133","4584","3759","1959","3628","4103","2391","3569","2019","2632","4833","3192","6223","6125","6250","3932","6482","5514","2156","3641","6815","3591","2783","3857","3865","2557","3395","2679","6140","3991","4782","4229","2606","4317","2713","2823","2133","1195","1162","1368","2483","1126","2857","526","4192","1425","2889","2339","857","1765","5072","1414","5647","6177","4365","5415","1623","1235","4766","3613","3822","2652","6032","3668","3763","2752","2446","3365","4449","4775","5836","5498","3741","2501","4843"
