"","TCGA-DD-A1EC-11A-11R-A130-13","TCGA-DD-A118-11A-11R-A130-13","TCGA-BC-A10R-11A-11R-A130-13","TCGA-BD-A3EP-11A-12R-A22J-13","TCGA-FV-A23B-11A-11R-A16S-13","TCGA-DD-A3A6-11A-11R-A22J-13","TCGA-BC-A10X-11A-11R-A130-13","TCGA-DD-A3A2-11A-11R-A214-13","TCGA-DD-A39Z-11A-21R-A214-13","TCGA-FV-A3I0-11A-11R-A22J-13","TCGA-BC-A10Z-11A-11R-A130-13","TCGA-DD-A113-11A-12R-A130-13","TCGA-DD-A1EJ-11A-11R-A154-13","TCGA-DD-A3A5-11A-11R-A22J-13","TCGA-DD-A1EB-11A-11R-A130-13","TCGA-DD-A39W-11A-11R-A214-13","TCGA-BC-A10Q-11A-11R-A130-13","TCGA-FV-A3I1-11A-11R-A22J-13","TCGA-DD-A39X-11A-11R-A214-13","TCGA-BC-A216-11A-11R-A154-13","TCGA-BC-A110-11A-11R-A130-13","TCGA-DD-A11D-11A-12R-A130-13","TCGA-W5-AA34-11A-11R-A41D-13","TCGA-W5-AA2U-11A-11R-A41D-13","TCGA-W5-AA2R-11A-11R-A41D-13","TCGA-FV-A3I0-01A-11R-A22J-13","TCGA-BC-A216-01A-11R-A154-13","TCGA-FV-A3I1-01A-11R-A22J-13","TCGA-DD-A39Z-01A-11R-A214-13","TCGA-DD-A1EJ-01A-11R-A154-13","TCGA-DD-A3A2-01A-11R-A214-13","TCGA-DD-A113-01A-11R-A130-13","TCGA-BD-A3EP-01A-11R-A22J-13","TCGA-DD-A11D-01A-11R-A130-13","TCGA-BC-A110-01A-11R-A130-13","TCGA-DD-A118-01A-11R-A130-13","TCGA-FV-A23B-01A-11R-A16S-13","TCGA-DD-A39X-01A-11R-A214-13","TCGA-DD-A3A6-01A-11R-A22J-13","TCGA-BC-A10Z-01A-11R-A130-13","TCGA-DD-A1EC-01A-21R-A130-13","TCGA-BC-A10R-01A-11R-A130-13","TCGA-DD-A3A5-01A-11R-A22J-13","TCGA-DD-A39W-01A-11R-A214-13","TCGA-BC-A10Q-01A-11R-A130-13","TCGA-BC-A10X-01A-11R-A130-13","TCGA-DD-A1EB-01A-11R-A130-13","TCGA-W5-AA34-01A-11R-A41D-13","TCGA-W5-AA2R-01A-11R-A41D-13","TCGA-W5-AA2U-01A-11R-A41D-13"
"hsa-let-7a-1","100036","123155","58291","20252","118185","25796","68803","28422","56881","51346","76169","47638","121820","20868","115854","41585","53207","30775","38527","146135","78650","57114","17167","24974","37773","68731","63342","36909","60656","48252","10481","38182","29328","106221","221297","86883","29830","25307","76751","25077","52199","137303","40534","68315","67766","75118","84207","30747","32264","27912"
"hsa-let-7a-2","99931","122989","58202","20294","117792","25661","68655","28642","56741","51405","76116","47357","121939","20697","115834","41460","52968","30698","38653","146102","78030","56394","17271","24958","37644","68386","62916","36568","60617","47958","10356","38119","29434","105151","220996","86500","30108","24965","76403","24947","52246","136584","40871","68658","68238","75366","84530","30630","32010","27766"
"hsa-let-7a-3","100100","122917","58451","20582","118548","25500","68962","28473","57444","51547","76334","47157","122897","20656","115545","42206","53488","30646","39191","146048","78891","57002","17378","24917","37702","68765","63469","36896","60629","48281","10441","37968","29304","105668","221567","86297","30534","25459","76851","24902","51981","136841","40571","68694","68193","76125","84934","30982","32256","28114"
"hsa-let-7b","136262","69864","74474","27044","92063","43693","59249","40913","52391","51764","69418","37156","69532","25029","125274","49257","52006","45480","34212","89810","80560","55244","26624","41479","53684","86985","39887","39737","32048","11232","11752","29534","15778","123315","236012","60392","17462","35057","42978","5349","36663","260318","30439","42721","30121","99755","35027","40639","42621","33796"
"hsa-let-7c","59006","53468","34462","13034","38018","20132","32145","19510","28000","30760","26953","21254","38072","13448","71393","20935","27860","20750","23785","56562","49625","25869","13206","22211","29236","5825","9084","13036","12991","1105","7206","8155","3963","16956","85801","4902","4865","9315","57249","1087","5055","14893","26370","1474","2619","35140","31666","5213","6092","5058"
"hsa-let-7d","5089","2438","2573","1275","3168","1639","2459","1891","2729","1880","2132","1242","2672","1178","4009","2173","2380","2013","1944","2993","3031","2531","1777","1387","2282","4226","4603","1315","3956","5861","1204","1613","1838","2157","4599","3374","2601","1944","6041","452","3147","2810","677","4708","4277","2845","5150","1602","1936","2768"
"hsa-let-7e","7330","5362","2189","1283","9848","1136","4217","2372","4112","2930","5328","1976","11172","1271","6015","2664","2669","2072","2703","11238","3560","2744","1038","1365","1593","14356","2247","3244","2526","4900","492","3961","3557","5002","19371","5550","1304","4357","14998","724","2005","15868","4367","20579","19444","6715","4600","6958","2563","6990"
"hsa-let-7f-1","53708","87106","27020","7237","84238","8188","58805","9513","25934","24416","49659","32113","120223","7928","70533","19263","30679","10178","17532","144651","44570","38981","6219","8317","14183","42460","54606","10804","40148","98165","3928","30407","15684","52031","149299","71784","26461","9119","59287","9066","59166","79808","9245","45669","64344","34508","80482","16444","11357","10546"
"hsa-let-7f-2","54089","89686","27556","7559","86009","8423","59792","9858","26327","25097","50645","32954","123415","8351","71407","19794","31605","10652","18433","147843","45448","39326","6509","8461","14689","42479","57220","10654","41322","99580","4029","30966","15787","52591","150852","72616","26939","9183","60006","9441","59387","81362","9506","45973","65592","34966","81354","17450","12006","10553"
"hsa-let-7g","11263","8784","4721","2171","10212","2407","6686","2634","3394","4754","6094","4047","11593","1897","9978","3873","4857","3365","3591","12033","8334","6037","2215","2649","3218","5427","9162","2295","5454","12154","813","2469","3311","6932","10805","2760","3753","2702","6109","1300","4648","6991","1454","7641","6301","5032","7640","2071","2540","2879"
