"","TCGA-DD-A3A1-11A-11R-A214-13","TCGA-EP-A12J-11A-11R-A130-13","TCGA-DD-A39V-11A-11R-A214-13","TCGA-DD-A11A-11A-11R-A130-13","TCGA-DD-A11C-11A-11R-A130-13","TCGA-DD-A116-11A-12R-A25G-13","TCGA-DD-A3A3-11A-11R-A22J-13","TCGA-BC-A10T-11A-11R-A130-13","TCGA-BC-A10W-11A-11R-A130-13","TCGA-DD-A119-11A-11R-A130-13","TCGA-BC-A10Y-11A-11R-A130-13","TCGA-DD-A11B-11A-11R-A130-13","TCGA-DD-A1EG-11A-11R-A214-13","TCGA-DD-A3A8-11A-11R-A22J-13","TCGA-DD-A3A4-11A-11R-A22J-13","TCGA-EP-A26S-11A-12R-A16S-13","TCGA-ES-A2HT-11A-11R-A17X-13","TCGA-FV-A2QR-11A-11R-A214-13","TCGA-DD-A1EL-11A-11R-A154-13","TCGA-DD-A1EH-11A-11R-A130-13","TCGA-BC-A10U-11A-11R-A130-13","TCGA-DD-A114-11A-12R-A130-13","TCGA-DD-A1EE-11A-11R-A130-13","TCGA-G3-A3CH-11A-11R-A22J-13","TCGA-DD-A1EI-11A-11R-A130-13","TCGA-BD-A2L6-11A-21R-A214-13","TCGA-EP-A3RK-11A-11R-A22J-13","TCGA-W5-AA2Q-11A-11R-A41D-13","TCGA-W5-AA2I-11A-11R-A41D-13","TCGA-ZU-A8S4-11A-11R-A41D-13","TCGA-W5-AA31-11A-11R-A41D-13","TCGA-W5-AA30-11A-11R-A41D-13","TCGA-EP-A12J-01A-11R-A130-13","TCGA-EP-A3RK-01A-11R-A22J-13","TCGA-DD-A1EH-01A-11R-A130-13","TCGA-DD-A3A8-01A-11R-A22J-13","TCGA-DD-A3A4-01A-11R-A22J-13","TCGA-EP-A26S-01A-11R-A16S-13","TCGA-DD-A114-01A-11R-A130-13","TCGA-DD-A119-01A-11R-A130-13","TCGA-BC-A10W-01A-11R-A130-13","TCGA-DD-A1EG-01A-11R-A214-13","TCGA-DD-A3A3-01A-11R-A22J-13","TCGA-DD-A11B-01A-11R-A130-13","TCGA-DD-A116-01A-11R-A130-13","TCGA-DD-A11A-01A-11R-A130-13","TCGA-BC-A10Y-01A-11R-A130-13","TCGA-BC-A10T-01A-11R-A130-13","TCGA-BD-A2L6-01A-11R-A214-13","TCGA-DD-A39V-01A-11R-A214-13","TCGA-DD-A3A1-01A-11R-A214-13","TCGA-FV-A2QR-01A-11R-A214-13","TCGA-DD-A1EE-01A-11R-A130-13","TCGA-G3-A3CH-01A-11R-A22J-13","TCGA-ES-A2HT-01A-12R-A17X-13","TCGA-DD-A1EL-01A-11R-A154-13","TCGA-DD-A11C-01A-11R-A130-13","TCGA-BC-A10U-01A-11R-A130-13","TCGA-DD-A1EI-01A-11R-A130-13","TCGA-ZU-A8S4-01A-11R-A41D-13","TCGA-W5-AA2Q-01A-11R-A41D-13","TCGA-W5-AA30-01A-31R-A41D-13","TCGA-W5-AA31-01A-11R-A41D-13","TCGA-W5-AA2I-01A-32R-A41D-13"
"hsa-let-7a-1","35948","147122","52614","52163","26512","30694","63074","120626","74608","55836","83931","92007","38931","31874","34438","80415","35812","84281","94321","83238","77183","95863","88551","47155","55294","64376","47084","54934","12405","60681","21614","36395","110323","12755","191442","16587","13348","113732","244151","47435","74823","71818","29487","124631","55001","66273","73262","71002","34878","45984","26687","50203","72481","52762","20198","26590","18159","51839","56135","42565","48532","25152","28154","74316"
"hsa-let-7a-2","35696","146790","52298","51842","26506","30716","62012","120348","74229","55764","83882","91550","38797","32110","34310","80384","35757","84181","94192","83203","76656","96143","88007","47359","54759","63876","46299","54941","12194","60679","21763","36235","110217","12596","191969","16346","13413","113368","242502","47494","74216","71459","29651","124247","55159","65969","73678","70929","35235","45739","26495","50612","72592","52603","20130","26467","18385","51904","56097","43035","48780","25362","28408","74013"
"hsa-let-7a-3","35983","146711","52504","51775","26454","31379","62988","120411","74307","55526","84115","92334","38945","31735","34278","80270","35747","84221","93876","83213","76809","95795","89319","46925","55339","63987","46787","54911","12340","60652","21726","36445","110372","12723","192254","16661","13321","113505","244734","47742","75025","71388","29914","123967","55163","66003","73492","71046","35222","45711","26832","50762","72445","53172","20214","26451","17988","52222","56822","42720","49024","25660","28390","74240"
"hsa-let-7b","50584","200259","40118","76100","29749","24528","91917","111924","49969","62504","99762","78889","42607","21920","41673","73029","45451","81571","52558","83801","87761","143357","72647","47808","42361","77367","56919","79807","20491","77498","30697","61197","74832","10496","159411","9203","5760","37411","286890","54801","85169","47901","13424","114136","34532","51844","15104","43487","56412","27951","12188","40458","27080","69877","34568","5642","8836","20824","65447","90698","191820","37325","36309","129869"
"hsa-let-7c","20888","52579","20905","29599","15154","12705","32056","60654","22271","29523","40062","32039","20364","15745","11598","39565","10163","28813","32161","42594","37402","38550","36822","18000","19417","31684","24254","33199","9087","39648","15855","26703","64411","1633","11607","13770","4962","26770","65615","8594","2462","11716","445","37963","12042","13621","9258","24645","7342","8957","5372","14551","10205","11689","4630","3683","2365","8551","15804","5644","5145","4022","4387","8765"
"hsa-let-7d","2390","4528","2554","2584","1282","944","3806","3276","2276","2229","2599","2706","2076","1917","1716","2271","1183","3698","1884","2908","2554","3857","2856","1970","1778","3009","1689","2057","892","2588","1590","2713","2289","843","7246","982","889","3234","8062","2457","4272","3310","1497","2965","1890","1989","530","1235","2941","3189","3082","3571","2540","3002","728","975","331","1102","4245","1652","2817","1945","2208","2461"
"hsa-let-7e","2804","7388","3370","3034","1281","2179","4554","6549","4408","2629","5217","5225","2141","1876","3040","4840","3302","8398","6603","4921","4759","5876","4410","3135","2424","6081","2966","3188","838","3527","1042","2284","2285","1222","8103","638","767","5544","19230","4727","3168","5338","2981","2743","5275","2643","2657","6265","2230","3218","520","3983","2068","5682","1924","3938","931","1840","5768","3977","3352","3241","8950","10448"
"hsa-let-7f-1","14488","73780","27841","24156","15619","16051","22580","82483","57193","33873","38135","59301","13590","13787","14170","60272","16564","36439","93875","49532","49891","62466","65760","23446","38722","20410","18792","18978","4172","25283","7543","11060","69560","5505","156434","5278","9857","103554","190667","28578","54479","33374","22464","87933","45324","53974","16118","40280","9899","22948","21281","27460","69943","17186","8993","35017","5498","66534","40615","10585","8771","7871","14142","26875"
"hsa-let-7f-2","14879","73386","28441","25047","15641","16985","23007","83750","57958","34595","39134","60341","13811","14117","14962","62641","16674","37244","96078","50210","50890","62616","66742","23857","39339","21020","19332","19844","4223","25815","7727","11587","70491","5641","158877","5497","9898","107736","194522","28812","56148","33941","23345","88721","46397","54904","16185","40727","10039","24295","21813","28349","71499","17490","9236","36939","5584","68253","41120","10566","8871","8102","14645","27726"
"hsa-let-7g","4796","8710","4418","4998","2937","2708","6171","9813","5767","4972","7073","7795","3579","3266","3066","9020","2353","6620","8179","8230","7580","7985","7339","4279","4361","4024","3974","4050","1570","4269","2362","4118","4902","1291","7974","1155","1692","10887","12840","3147","4929","5283","2930","6022","6514","5267","1115","4114","2477","3291","4777","5618","3845","4598","1307","2850","729","5045","3820","2195","3312","2459","2058","4258"
