"","TCGA-HU-A4GX-11A-11R-A252-13","TCGA-BR-7704-11A-01R-2055-13","TCGA-IN-AB1X-11A-21R-A39F-13","TCGA-CG-5733-11A-01R-1602-13","TCGA-BR-7716-11A-01R-2055-13","TCGA-CG-5730-11A-01R-1602-13","TCGA-HU-A4GY-11A-11R-A24L-13","TCGA-BR-8060-11A-01R-2343-13","TCGA-BR-6564-11A-01R-1884-13","TCGA-HU-A4GX-11X-11R-A360-13","TCGA-HU-A4G9-11A-11R-A360-13","TCGA-HU-A4GY-11X-11R-A360-13","TCGA-CG-5722-11A-02R-1602-13","TCGA-BR-6458-11A-01R-1802-13","TCGA-CG-5728-11A-01R-1602-13","TCGA-BR-6852-11A-01R-1884-13","TCGA-SW-A7EA-11A-11R-A353-13","TCGA-HU-A4GP-11A-21R-A252-13","TCGA-HU-A4G9-11X-11R-A24L-13","TCGA-CG-5730-01A-11R-1602-13","TCGA-BR-7704-01A-11R-2055-13","TCGA-HU-A4G9-01A-11R-A24L-13","TCGA-BR-8060-01A-11R-2343-13","TCGA-HU-A4GP-01A-11R-A252-13","TCGA-BR-6564-01A-12R-1884-13","TCGA-BR-7716-01A-21R-2055-13","TCGA-HU-A4GY-01A-21R-A24L-13","TCGA-CG-5722-01A-21R-1602-13","TCGA-SW-A7EA-01A-12R-A353-13","TCGA-CG-5733-01A-11R-1602-13","TCGA-CG-5728-01A-11R-1602-13","TCGA-BR-6458-01A-11R-1802-13","TCGA-HU-A4GX-01A-12R-A252-13","TCGA-IN-AB1X-01A-11R-A39F-13","TCGA-BR-6852-01A-11R-1884-13"
"hsa-let-7a-1","27362","52097","61296","15724","21187","17897","36000","22812","28879","74525","217868","60786","66335","12373","17603","19090","70433","35348","31168","20567","49392","12236","22082","5809","76031","7904","27309","29191","56875","19874","25957","30865","9701","55759","17447"
"hsa-let-7a-2","27320","52281","61497","15973","20991","18030","36558","22711","28766","75079","218576","60557","66297","12456","17338","18843","70481","35574","30853","20196","49138","12272","22114","5644","75460","7985","27160","29382","56760","19190","26031","30916","9787","55841","17518"
"hsa-let-7a-3","27591","52444","61745","15929","21338","18064","36532","22524","29154","74937","218635","60892","66551","12302","17562","19056","70921","35462","31211","20142","49146","12399","21876","5697","75584","8073","27540","29232","56868","19760","25798","31215","9696","55832","17491"
"hsa-let-7b","37421","48262","71672","31248","22030","28880","46569","38813","46843","68520","153789","46753","153580","19422","31935","24089","85893","44200","55971","22202","31964","11169","26732","10891","67211","10124","35008","39489","78657","37003","46763","34366","20402","69867","25910"
"hsa-let-7c","12007","19447","27356","801","3563","4091","10729","5103","11303","24245","64899","12957","14414","611","1621","973","11288","11139","18016","2227","1764","107","3512","261","38263","2088","8212","6802","7901","2024","7295","6226","488","4720","1884"
"hsa-let-7d","997","1541","1057","1808","738","3315","1124","1171","4323","1005","2416","961","7248","1816","1882","2885","2861","998","1527","1249","2000","508","1386","606","3323","440","2020","2722","3162","3607","2725","5353","1137","2264","2945"
"hsa-let-7e","5613","9694","5362","1152","3169","2751","6008","1910","3819","27774","64024","15406","10676","820","1297","899","8986","7996","6075","5244","6050","422","3064","422","9606","2890","1892","2438","11317","2097","3249","4630","549","6215","1262"
"hsa-let-7f-1","14254","29335","22322","7254","23218","7708","15963","8740","12976","47981","145068","45228","25984","7022","10013","9776","40153","15552","11315","5950","42771","4723","9866","2639","44886","8306","17380","16399","30362","8376","13401","18029","4322","28942","9144"
"hsa-let-7f-2","14326","29837","22803","7389","23230","7700","16443","9016","13145","48861","147174","45856","25961","6979","9967","9671","40172","15795","11373","6185","43331","4871","9938","2682","45125","8432","17736","16442","30605","8506","13121","18178","4335","28878","9149"
"hsa-let-7g","1393","1919","2003","2625","1106","3911","1340","1808","3279","4427","25176","4101","10868","3404","4272","4602","4560","1279","1582","1614","2823","1066","1285","623","4199","571","3079","5502","3518","3130","2507","4672","1394","4018","2989"
