"","TCGA-HU-A4GH-11A-11R-A360-13","TCGA-CG-5721-11A-01R-1602-13","TCGA-IP-7968-11A-01R-2203-13","TCGA-HU-A4GN-11A-12R-A252-13","TCGA-HU-A4G3-11A-11R-A24L-13","TCGA-FP-7735-11A-01R-2055-13","TCGA-FP-7829-11A-01R-2055-13","TCGA-HU-8238-11A-01R-2343-13","TCGA-CG-5720-11A-01R-1602-13","TCGA-IN-7806-11A-01R-2055-13","TCGA-HU-A4HB-11A-11R-A252-13","TCGA-BR-7715-11A-01R-2055-13","TCGA-BR-7703-11A-01R-2055-13","TCGA-BR-6802-11A-01R-1884-13","TCGA-IN-AB1V-11A-11R-A415-13","TCGA-BR-7851-11A-01R-2203-13","TCGA-BR-7717-11A-01R-2055-13","TCGA-BR-6457-11A-01R-1802-13","TCGA-HU-A4GH-11X-11R-A24L-13","TCGA-CG-5734-11A-01R-1602-13","TCGA-IN-8462-11A-01R-2343-13","TCGA-BR-6453-11A-01R-1802-13","TCGA-IN-8663-11A-01R-2402-13","TCGA-CG-5725-11A-01R-1602-13","TCGA-HU-A4GC-11A-11R-A252-13","TCGA-BR-6454-11A-01R-1802-13","TCGA-CG-5720-01A-11R-1602-13","TCGA-FP-7735-01A-11R-2055-13","TCGA-HU-8238-01A-11R-2343-13","TCGA-BR-7703-01A-11R-2055-13","TCGA-IP-7968-01A-11R-2203-13","TCGA-CG-5725-01A-11R-1602-13","TCGA-HU-A4GN-01A-11R-A252-13","TCGA-HU-A4HB-01A-12R-A252-13","TCGA-BR-6453-01A-11R-1802-13","TCGA-BR-6802-01A-11R-1884-13","TCGA-IN-8462-01A-11R-2343-13","TCGA-BR-7715-01A-11R-2055-13","TCGA-IN-7806-01A-11R-2055-13","TCGA-HU-A4GH-01A-11R-A24L-13","TCGA-CG-5734-01A-11R-1602-13","TCGA-IN-AB1V-01A-21R-A415-13","TCGA-BR-7851-01A-11R-2203-13","TCGA-BR-6454-01A-11R-1802-13","TCGA-BR-6457-01A-21R-1802-13","TCGA-FP-7829-01A-11R-2055-13","TCGA-HU-A4G3-01A-11R-A24L-13","TCGA-CG-5721-01A-11R-1602-13","TCGA-HU-A4GC-01A-12R-A252-13","TCGA-IN-8663-01A-11R-2402-13","TCGA-BR-7717-01A-11R-2055-13"
"hsa-let-7a-1","59754","25445","40762","22323","28283","34329","44863","17158","23033","17957","24253","35038","32428","65328","38874","24600","39894","17705","32527","19083","18490","20897","105782","81377","27667","21148","30955","43894","27274","29288","22861","15684","11640","17597","39366","13353","45072","40104","53452","25522","22535","42742","20456","31266","22174","38920","18529","16397","12155","89587","17846"
"hsa-let-7a-2","59781","25365","40496","22299","27865","34798","44383","17075","22968","17847","24453","35109","32265","64514","38925","24521","39716","17694","32620","18780","18165","20664","106178","81848","27221","20829","31140","43794","27338","29085","22790","15451","11523","17494","39252","13269","45114","39948","52764","25358","22440","42925","20343","30759","22063","38748","18179","15909","11919","89573","18171"
"hsa-let-7a-3","60144","25708","40748","22409","28057","34838","44915","17016","23249","17818","24197","34953","32302","65657","38945","24728","39828","17615","32513","19276","18196","20838","106248","81330","27354","21324","30984","44205","27137","29014","22670","15741","11493","17605","39567","13536","45114","40260","53168","26134","22610","43131","20655","31312","22291","39366","18645","16606","12194","89756","17887"
"hsa-let-7b","52362","46056","39237","36963","40999","30731","42430","17802","36796","16318","49749","21820","31019","70016","55545","22376","38281","27066","39599","43403","25775","28350","114059","175503","40731","38242","37448","33026","27041","26092","50910","22572","25497","26252","48923","23089","61788","31396","43591","42862","36293","59914","23001","77001","36370","33136","20989","43854","14353","73892","18574"
"hsa-let-7c","18914","2563","12931","7918","7215","12724","12523","1751","1979","7921","8698","3709","1738","8570","14930","4041","11344","2940","10921","4542","7299","4409","37733","27083","9222","6010","5908","9944","999","3380","2840","4228","627","1019","35114","1831","6282","12542","17476","344","1655","13843","2858","7412","12417","4137","727","2300","1494","2598","2931"
"hsa-let-7d","1185","2507","654","1243","1275","1429","1413","954","2124","404","902","1003","790","3398","1151","787","1089","2538","1301","3070","514","3097","1139","6515","1227","2185","4009","3408","1259","1905","1194","1550","1528","1702","3713","3768","1856","2174","2099","2202","4157","1498","1216","3978","2844","2000","1313","3297","1928","3506","1153"
"hsa-let-7e","15549","2188","4102","4731","6333","7391","8330","1074","2106","2236","4401","3370","2040","3668","4579","1992","5027","1672","5938","2033","1386","2885","12435","16810","5987","2048","2859","7900","1534","2203","1892","2006","942","1262","2552","1394","4066","7777","9873","3408","1856","3230","2309","2642","3196","2887","935","2164","1101","4751","3141"
"hsa-let-7f-1","34556","12178","13744","9658","10498","27138","27273","8910","12090","11789","8128","30351","19424","42074","13339","10547","26874","7350","12753","9938","5589","9778","45291","36268","11247","12909","18539","42573","13902","27135","10172","4861","4509","8970","30114","6807","20415","32387","51943","9550","13529","16105","9974","21262","11210","27982","10331","9952","7770","50059","14833"
"hsa-let-7f-2","35056","12424","13943","9670","10711","27526","27488","8995","12080","11687","8171","30317","19665","42615","13549","10918","27157","7387","12644","10114","5657","9745","45717","36814","11544","13168","18968","43242","14103","27171","10143","4997","4629","9337","29838","6672","20583","32891","52319","9692","13448","16308","10073","21167","11374","28254","10401","9967","7766","50514","15204"
"hsa-let-7g","3687","6125","1290","1239","1135","1386","1364","1583","3803","725","915","1989","1407","6426","1502","1503","1839","3618","1358","3979","666","3159","5432","5691","1397","3177","3138","2617","1587","2632","1673","2809","1318","2849","5881","4086","2429","1932","2601","2746","5391","2431","1220","5578","2254","1733","1620","5097","1474","4626","924"
