"","TCGA-EL-A3ZQ-11A-11R-A23I-13","TCGA-EM-A3ST-11A-11R-A22V-13","TCGA-EL-A3ZK-11A-11R-A23I-13","TCGA-KS-A41L-11A-11R-A23I-13","TCGA-ET-A3DP-11A-22R-A21E-13","TCGA-EL-A3TB-11A-11R-A22J-13","TCGA-EL-A3T7-11A-21R-A22J-13","TCGA-EL-A3ZL-11A-11R-A23I-13","TCGA-EL-A3ZH-11A-11R-A23I-13","TCGA-EL-A3T0-11A-12R-A22J-13","TCGA-EM-A1CS-11A-21R-A13X-13","TCGA-ET-A2N5-11B-11R-A18B-13","TCGA-EL-A3N2-11A-11R-A20E-13","TCGA-EL-A3ZO-11A-12R-A23I-13","TCGA-EL-A3GZ-11A-11R-A20E-13","TCGA-EM-A1CV-11A-11R-A13X-13","TCGA-EL-A3T1-11A-11R-A22J-13","TCGA-EL-A3H1-11A-11R-A21E-13","TCGA-EL-A3ZS-11A-11R-A23I-13","TCGA-EL-A3T2-11A-11R-A22J-13","TCGA-E8-A2JQ-11A-11R-A17X-13","TCGA-BJ-A28W-11A-11R-A16Q-13","TCGA-BJ-A2N7-11A-11R-A18B-13","TCGA-EL-A3ZR-11A-11R-A23I-13","TCGA-EL-A3MW-11A-11R-A20E-13","TCGA-FY-A3TY-11A-12R-A22V-13","TCGA-DO-A1JZ-11A-11R-A13X-13","TCGA-GE-A2C6-11A-11R-A16Q-13","TCGA-BJ-A28R-11A-11R-A16Q-13","TCGA-KS-A41I-11A-11R-A23I-13","TCGA-EM-A1YC-11A-11R-A14X-13","TCGA-H2-A3RI-11A-11R-A222-13","TCGA-EM-A1CW-11A-12R-A13X-13","TCGA-KS-A41J-11A-12R-A23I-13","TCGA-EL-A3N3-11A-11R-A20E-13","TCGA-BJ-A3PR-11A-11R-A222-13","TCGA-BJ-A2N9-11A-11R-A18B-13","TCGA-BJ-A2N8-11A-11R-A18B-13","TCGA-EL-A3T6-11A-11R-A222-13","TCGA-BJ-A28X-11A-11R-A22J-13","TCGA-EL-A3H7-11A-11R-A21E-13","TCGA-EL-A3MX-11A-11R-A21E-13","TCGA-BJ-A2N9-01A-11R-A18B-13","TCGA-KS-A41I-01A-11R-A23I-13","TCGA-EL-A3T2-01A-11R-A22J-13","TCGA-EL-A3T0-01A-22R-A22J-13","TCGA-E8-A2JQ-01A-11R-A17X-13","TCGA-KS-A41L-01A-11R-A23I-13","TCGA-EL-A3T6-01A-11R-A222-13","TCGA-BJ-A2N7-01A-11R-A18B-13","TCGA-FY-A3TY-01A-11R-A22V-13","TCGA-EM-A1YC-01A-11R-A14X-13","TCGA-DO-A1JZ-01A-11R-A13X-13","TCGA-BJ-A28R-01A-11R-A16Q-13","TCGA-EL-A3ZS-01A-12R-A23I-13","TCGA-BJ-A3PR-01A-11R-A222-13","TCGA-EL-A3GZ-01A-11R-A20E-13","TCGA-EL-A3T7-01A-11R-A22J-13","TCGA-EL-A3ZK-01A-21R-A23I-13","TCGA-EL-A3N2-01A-11R-A20E-13","TCGA-H2-A3RI-01A-11R-A222-13","TCGA-BJ-A28X-01A-11R-A22J-13","TCGA-EL-A3ZH-01A-31R-A23I-13","TCGA-EM-A1CW-01A-21R-A13X-13","TCGA-EL-A3ZL-01A-11R-A23I-13","TCGA-BJ-A2N8-01A-11R-A18B-13","TCGA-EL-A3ZO-01A-11R-A23I-13","TCGA-EL-A3ZR-01A-11R-A23I-13","TCGA-EL-A3H1-01A-11R-A21E-13","TCGA-KS-A41J-01A-11R-A23I-13","TCGA-EL-A3MW-01A-11R-A20E-13","TCGA-ET-A2N5-01A-11R-A18B-13","TCGA-GE-A2C6-01A-11R-A16Q-13","TCGA-EM-A1CS-01A-11R-A13X-13","TCGA-EL-A3H7-01A-11R-A21E-13","TCGA-EL-A3ZQ-01A-11R-A23I-13","TCGA-EL-A3N3-01A-11R-A20E-13","TCGA-EL-A3T1-01A-11R-A22J-13","TCGA-ET-A3DP-01A-11R-A21E-13","TCGA-BJ-A28W-01A-11R-A16Q-13","TCGA-EM-A1CV-01A-11R-A13X-13","TCGA-EL-A3TB-01A-11R-A22J-13","TCGA-EM-A3ST-01A-11R-A22V-13","TCGA-EL-A3MX-01A-11R-A21E-13"
"hsa-let-7a-1","127216","91709","83871","102160","154942","141819","158603","143585","103555","133820","225755","227481","99250","107507","19846","206980","243018","119430","46036","161332","54867","43617","79868","98768","107757","109603","153763","130563","158933","133692","74838","182038","92765","90198","152989","71398","76067","98181","145872","146019","218652","248908","33600","32507","118482","237757","25895","17983","70079","49579","80203","20320","120459","70666","81175","39792","168115","170712","21836","63780","41503","73732","141493","41206","56072","80830","66150","69817","242714","72942","228223","108056","59361","122294","126595","83370","96571","67510","283127","167369","138006","218703","34873","271044"
"hsa-let-7a-2","126771","91114","84447","102314","155018","141604","159086","143677","103895","134032","226429","225925","98754","107630","20383","206822","242388","120017","45895","161324","55066","43113","80375","98190","107983","109280","152895","129342","159245","133275","74604","182704","92514","90299","153221","71432","76079","98412","145931","145819","218469","248611","33737","32700","118292","236719","25763","17854","70753","49801","79654","20449","119325","70999","81529","39702","168352","170456","21283","64019","41002","73834","141550","41773","56223","80199","66141","69961","242305","72951","227950","107800","59378","122106","126830","82423","96384","67617","284772","167323","137556","219645","34753","270484"
"hsa-let-7a-3","127302","91062","83877","102000","154957","142189","158050","143320","103575","133986","227126","227395","99466","108235","19861","208098","242244","120100","46234","161272","55203","43659","79830","98349","108131","109954","153160","130091","159708","133583","75441","182030","92869","90438","153910","71431","75635","98339","146198","146528","218110","247776","33537","32821","118243","237688","25683","18077","70015","49801","80154","20387","120042","71219","81780","39947","168999","170908","21700","64102","41073","74241","141539","41942","56158","80862","66092","69385","243073","72919","228492","108495","59849","122279","126760","83145","96044","67415","283853","168293","137552","219354","34893","271439"
"hsa-let-7b","132156","75879","82185","102393","68665","90807","81038","160352","104591","44742","141477","162359","228110","89226","40176","119050","75472","45004","57586","58010","54026","18717","67644","100406","188663","83154","98288","113568","79897","95041","58085","168485","72019","97876","195114","109844","79830","97203","127401","48419","82432","91550","7862","17317","30539","57239","22761","14225","32376","29643","60489","5265","116580","19153","87297","48347","66264","33100","9739","29291","23620","17431","60110","13822","33438","41284","62809","34362","47742","31116","79860","61713","55710","59355","27964","70475","40550","18134","112623","112584","93378","58510","24371","250853"
"hsa-let-7c","56836","48489","32383","55038","38570","44348","39663","78250","45232","30028","96148","102634","63126","47350","11715","86256","46562","30192","10139","37148","24927","10360","44667","45058","70611","40734","53878","51855","48330","37929","38868","70991","42799","37976","67221","35511","34196","61446","66310","26992","48424","60380","13095","13528","25019","40275","5183","4795","20008","25101","24581","4803","32473","20943","28446","10942","42922","22072","5385","15194","16241","9802","30375","9924","24996","40944","22461","40529","51064","17160","67459","50894","35339","47065","14163","48221","14031","11574","50820","40441","63325","38536","18085","108796"
"hsa-let-7d","5526","5193","4914","6709","5768","4028","4944","7387","6777","4780","10118","16176","8036","4774","3353","13050","4959","3289","3076","7087","4051","6162","14820","5720","6521","5342","13298","8669","8100","7067","3956","9103","6382","8055","9289","6346","5177","11229","7152","3753","5151","4953","6506","6785","5444","4513","3460","4304","6883","6308","4825","3072","5476","4890","5488","3013","4657","4549","3651","3940","7271","2595","7669","3871","6556","6585","2942","8254","7190","6345","6748","10739","6225","5169","5566","4882","3629","3949","8692","7863","7237","5683","4887","14832"
"hsa-let-7e","11079","10376","6323","10077","21477","14464","14074","10209","7301","12678","20961","25853","9675","8556","4593","20618","26706","12680","2298","20359","3986","6714","7519","8531","9778","10771","17429","8367","10641","11144","8448","20393","12552","9317","15242","5248","5956","9996","12685","14344","23044","26788","5170","11673","24753","44443","5258","2472","11829","6888","10240","10856","15193","10787","8783","4101","31475","32802","5382","15973","8090","14267","13283","8342","15466","10300","15455","16099","34043","11198","47614","19654","11004","22800","26796","12009","18314","16673","58539","9646","22324","43016","9446","39207"
"hsa-let-7f-1","56685","47614","41503","40324","105770","113945","122688","58573","40391","133254","232397","124390","29262","55412","4662","173895","190842","104907","19396","165036","35299","35517","39536","41470","44524","60701","127980","88228","169893","59828","62313","87579","72590","30058","60783","25966","39592","45649","73933","106996","177768","194164","19065","17538","109195","237062","13501","9653","37437","29432","47133","29936","63210","71130","32845","15874","138385","177399","12816","38850","21654","64287","80939","51455","27462","48068","32837","48083","232527","43513","191864","60329","49856","111476","118759","38778","66195","58342","193241","123665","105557","213219","21200","123271"
"hsa-let-7f-2","57189","47827","42110","40667","106401","115537","123885","59347","41095","134768","235124","124783","29703","56279","4763","175055","193004","106271","19556","167417","35814","35645","39900","41800","44896","61712","129946","89592","170220","60686","63352","88458","73393","30267","61062","25853","39621","45959","74634","107397","179721","197015","19532","17894","111262","240788","13913","9610","37884","29685","48244","30632","63726","71067","33025","15991","139983","179596","13011","38954","21344","65344","81257","52749","27808","49196","33082","49387","234726","43608","193645","60994","50227","112773","120944","38944","66386","59469","195557","124249","106700","215514","22072","124818"
"hsa-let-7g","8128","6898","6104","5542","9250","10666","12533","7400","5689","14218","15899","24957","3790","6458","932","15626","16536","9252","4973","19200","7586","3817","20179","5906","5160","7264","10977","10150","12461","8082","3997","8441","6663","5186","7312","6524","10678","11626","8715","12534","14651","17041","6776","3227","6566","16982","6591","2771","4472","6466","4387","2689","4657","3922","4144","4077","9971","10699","2299","3572","3940","6077","4882","4634","4318","5927","4904","4698","17970","4816","10155","12158","5412","4920","10927","3815","4701","5859","15096","12496","7746","12487","3273","17721"
