"","TCGA-BJ-A3PU-11A-11R-A222-13","TCGA-EL-A3H2-11A-11R-A20E-13","TCGA-EM-A1CT-11A-11R-A13X-13","TCGA-ET-A3DW-11A-11R-A19N-13","TCGA-ET-A2MX-11C-11R-A23I-13","TCGA-EL-A3ZP-11A-11R-A23I-13","TCGA-EL-A3T3-11A-11R-A22J-13","TCGA-BJ-A290-11A-11R-A17X-13","TCGA-EL-A3ZT-11A-13R-A23I-13","TCGA-EL-A3MY-11A-12R-A21E-13","TCGA-EM-A1CU-11A-11R-A13X-13","TCGA-EL-A3T8-11A-11R-A22J-13","TCGA-H2-A2K9-11A-11R-A17X-13","TCGA-BJ-A2NA-11A-11R-A19N-13","TCGA-EL-A3TA-11A-12R-A22J-13","TCGA-EL-A3ZM-11A-12R-A23I-13","TCGA-EL-A3ZG-11A-13R-A23I-13","TCGA-EM-A1CU-01A-11R-A13X-13","TCGA-EL-A3T3-01A-11R-A22J-13","TCGA-EL-A3ZM-01A-12R-A23I-13","TCGA-H2-A2K9-01A-11R-A17X-13","TCGA-BJ-A2NA-01A-12R-A19N-13","TCGA-EL-A3MY-01A-11R-A21E-13","TCGA-EL-A3ZG-01A-11R-A23I-13","TCGA-EL-A3ZP-01A-11R-A23I-13","TCGA-EL-A3TA-01A-12R-A22J-13","TCGA-ET-A2MX-01A-11R-A23I-13","TCGA-EL-A3H2-01A-11R-A20E-13","TCGA-ET-A3DW-01A-11R-A19N-13","TCGA-EL-A3T8-01A-21R-A22J-13","TCGA-EL-A3ZT-01A-12R-A23I-13","TCGA-BJ-A290-01A-11R-A17X-13","TCGA-EM-A1CT-01A-11R-A13X-13","TCGA-BJ-A3PU-01A-11R-A222-13"
"hsa-let-7a-1","117777","149144","156139","92253","153781","134750","216926","108611","110744","206725","168720","283079","58333","105408","240510","126556","113241","112891","167102","39187","51090","134760","177437","58033","89963","206663","38591","98796","90736","164879","96155","113261","18089","65558"
"hsa-let-7a-2","117172","148407","156121","92020","153295","134078","218033","108791","110559","205826","169273","282700","58569","105062","241451","127047","113664","112347","166725","39382","50918","134900","177318","58040","89575","206127","38552","97940","90762","165870","96166","112821","17952","65769"
"hsa-let-7a-3","117988","149242","155997","91892","153942","133902","217320","108836","110233","206639","169358","283286","58719","105541","241126","127233","113238","112781","167261","39523","51160","135405","178346","58125","90624","206906","38484","98336","90895","165853","96187","112980","18381","65561"
"hsa-let-7b","102738","166371","90463","47343","100463","136303","75025","96548","104856","85932","117047","106646","55276","47184","69825","114841","123376","61860","26954","12417","40356","53776","47923","50366","84523","76548","13125","73319","19447","54798","70517","112112","7910","22389"
"hsa-let-7c","47521","57544","66176","26087","53954","43379","51494","59336","51937","57800","77705","69966","31411","26558","53142","54474","46395","18902","23928","3554","27524","25638","37261","21590","22614","68389","11533","23900","14868","24726","29428","68993","5941","16561"
"hsa-let-7d","6387","7634","6610","2244","10276","8008","5379","7945","7259","6127","8793","3728","6377","3188","8128","6879","7331","6897","5477","3228","3621","5655","4560","4221","6774","6471","5879","3888","6268","4817","4991","8807","5577","6193"
"hsa-let-7e","14733","12962","14182","9393","14382","10413","22164","12340","11243","25508","15939","29184","5888","10163","30462","12503","9060","14024","27684","10175","10534","26619","36677","9449","10224","29269","8845","11515","18803","25495","13749","16314","4664","17584"
"hsa-let-7f-1","71811","59170","139063","57947","73499","55562","193345","48193","44450","174008","130721","244790","26238","70537","239009","58807","55433","88512","188830","26076","28944","106481","175049","29525","39879","190201","21012","59281","56728","145380","47351","54281","13742","59389"
"hsa-let-7f-2","72866","59512","140967","59022","74259","56229","194747","49413","45083","175911","131335","246929","26392","70927","242441","59125","55473","89903","191998","26018","29524","106390","176931","29932","40384","193790","21214","59653","57485","147112","47716","54981","13940","59574"
"hsa-let-7g","7712","6893","9250","5590","10323","7562","16603","9185","5134","16067","10912","15448","7341","8340","18547","8210","8995","5987","11411","3913","3096","7512","14670","3126","4424","13907","3382","5329","4951","8996","4311","5568","4503","5569"
"hsa-let-7i","21149","24201","22092","7212","19542","17998","17226","13840","14985","17064","36268","15847","19788","10486","14571","21037","25678","16928","10512","8961","3257","16599","10437","17851","16313","12538","8870","12832","9722","13029","7439","14693","8334","16713"
"hsa-mir-1-1","83","79","198","55","85","79","204","153","50","231","140","221","79","130","190","813","86","132","336","4","121","175","147","14","61","147","37","37","4","70","113","17","9","10"
"hsa-mir-1-2","91","101","175","77","92","77","191","171","48","265","127","237","95","162","199","811","98","136","326","2","127","179","140","19","65","194","47","36","4","75","118","35","18","14"
"hsa-mir-100","175597","226225","170937","96692","223050","180198","140437","144834","182788","165271","183435","165428","104547","88319","95799","173233","118388","48008","49285","37180","48792","89816","91962","12904","115913","70568","78551","41857","27338","32803","86483","62397","5526","48625"
"hsa-mir-101-1","183585","102999","82052","52086","124730","145824","124883","80011","82169","60397","128104","86152","103802","43487","95884","135775","120326","41930","49856","72020","27426","106483","54988","66938","141317","115590","49690","34825","38459","42785","134550","86870","12178","162881"
"hsa-mir-101-2","183280","103976","84666","53144","124830","145015","125846","79865","83296","61465","130863","88031","104668","44165","96283","135072","120248","42737","50432","72641","27793","108113","55931","67887","141877","116733","49665","35662","38604","43622","135604","88166","12164","163474"
"hsa-mir-103a-1","41284","47954","137063","36777","66157","59050","82549","94012","61616","59003","216024","91523","99815","41241","63657","64049","68555","76597","32275","49644","56658","53556","60959","56455","51716","79638","34788","41144","28465","37635","54306","144014","14566","47228"
"hsa-mir-103a-2","41628","48738","136756","36740","66363","59579","82149","94761","61337","59549","216467","92360","100204","41104","63941","63648","68944","76649","32255","49560","56513","54680","60692","56711","52630","79506","34881","41408","28725","37278","53856","145272","14362","47326"
"hsa-mir-103b-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-103b-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-105-1","1","1","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","46","0","0","0","0","0","0","0","0","0","0","2","0","0"
"hsa-mir-105-2","0","0","0","0","0","0","0","4","0","0","0","0","1","0","0","0","0","0","0","1","37","0","0","0","1","0","0","1","0","0","0","1","0","0"
"hsa-mir-106a","84","80","39","34","96","93","150","57","56","71","58","41","98","30","95","95","240","21","34","17","18","45","21","32","34","47","17","9","32","32","38","44","5","37"
"hsa-mir-106b","4474","6191","3276","1752","4089","4168","3561","2111","2636","2811","4893","3158","3523","1978","3157","3978","6332","2888","1533","1661","1291","2691","2151","1712","3269","2856","1192","981","1298","1995","2519","3872","385","3125"
"hsa-mir-107","1056","1345","700","331","593","780","1005","418","621","588","1287","647","424","280","652","835","1127","346","356","411","179","720","645","385","541","647","314","544","391","366","510","693","64","809"
"hsa-mir-10a","26781","28563","150624","28274","48786","34199","32542","130941","53338","14719","93480","87034","41222","25509","26252","63359","48225","37719","13577","16375","11477","46810","68434","21363","18991","51759","4440","20903","3713","13042","19286","61292","6826","6362"
"hsa-mir-10b","71189","164543","400341","128683","189760","113644","160909","386567","146342","75100","228835","152986","227368","114937","95329","222533","201964","310400","113907","87635","200271","138731","102590","87903","63398","88739","39825","60687","30475","29535","87196","270282","33340","48699"
"hsa-mir-1178","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1179","200","98","206","32","259","124","176","104","97","198","259","69","90","70","211","99","229","7","6","3","5","4","3","4","13","40","0","30","7","17","5","2","0","4"
"hsa-mir-1180","406","493","427","204","520","414","291","546","431","365","551","230","337","204","372","329","407","196","98","56","267","141","105","177","265","170","82","231","126","113","136","359","51","129"
"hsa-mir-1181","6","12","1","1","5","7","2","1","7","0","5","3","1","0","2","3","2","0","1","0","1","1","2","0","1","0","0","1","3","0","5","3","0","2"
"hsa-mir-1182","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1183","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1184-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1184-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1184-3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1185-1","0","0","0","0","1","1","0","2","0","3","1","0","0","0","0","0","1","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1185-2","1","1","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1193","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1197","0","0","0","0","0","3","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0"
"hsa-mir-1199","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"hsa-mir-1200","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1202","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1203","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1204","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1205","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1206","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1207","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1208","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-122","0","0","0","0","0","1","1","1","0","0","1","0","1","1","0","0","0","0","2","2","0","2","0","0","1","0","1","0","0","0","0","0","0","1"
"hsa-mir-1224","2","6","11","1","3","1","1","10","5","6","4","3","2","1","5","2","5","7","1","1","6","5","3","5","8","7","1","10","1","3","4","26","2","2"
"hsa-mir-1225","3","2","0","1","0","2","3","1","1","2","1","1","3","0","0","1","3","2","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0"
"hsa-mir-1226","10","4","0","1","6","6","2","4","9","5","6","0","7","4","3","6","6","3","4","2","6","3","7","8","4","3","8","2","3","2","5","12","4","9"
"hsa-mir-1227","2","2","3","0","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","0","3","0","3"
"hsa-mir-1228","4","1","3","0","4","4","1","6","1","1","2","2","1","2","1","3","1","4","2","3","0","3","11","1","6","5","1","0","0","4","2","5","0","1"
"hsa-mir-1229","1","3","0","0","2","3","3","2","0","2","0","0","2","2","3","2","4","1","2","1","2","2","3","4","1","1","2","0","0","0","1","4","0","1"
"hsa-mir-1231","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1233-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1233-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1234","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","2","0","0","1","0","2","0","1","0","0","1","2","0","0","0","1","1","0","0"
"hsa-mir-1236","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0"
"hsa-mir-1237","1","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0"
"hsa-mir-1238","0","0","0","0","0","0","0","0","2","0","0","0","1","1","1","0","0","0","0","0","1","1","1","0","1","0","0","0","0","0","0","1","0","0"
"hsa-mir-124-1","0","0","0","2","0","1","0","0","2","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"hsa-mir-124-2","0","1","0","1","0","0","0","0","0","1","0","0","0","1","0","0","2","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0"
"hsa-mir-124-3","1","1","1","1","0","0","0","0","0","1","0","0","0","1","0","1","1","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0"
"hsa-mir-1243","0","0","0","0","1","1","1","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"hsa-mir-1244-1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1244-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1244-3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1244-4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1245a","3","6","22","1","3","4","2","16","3","3","9","9","14","2","5","5","2","1","3","6","2","1","21","1","6","3","0","3","0","0","5","4","2","0"
"hsa-mir-1245b","0","2","0","0","1","0","0","0","0","0","1","1","0","1","0","0","0","1","3","1","0","4","1","2","2","0","1","0","0","1","0","1","0","2"
